,Time,S1Temp,S2Temp,S3Temp,S1Light,S2Light,S3Light,CO2,PIR1,PIR2,Persons
0,4648,19.9,19.67,19.49,242.0,68,106.0,390.0,0,0,1
1,4651,19.9,19.69,19.56,242.0,66,106.0,390.0,0,0,1
2,4654,19.99,19.66,19.44,242.0,68,106.0,390.0,0,0,1
3,4657,19.98,19.73,19.47,242.0,68,106.0,390.0,0,0,1
4,4660,19.95,19.72,19.51,242.0,68,108.0,390.0,0,0,1
5,4663,19.98,19.73,19.49,242.0,68,108.0,390.0,0,0,1
6,4666,19.91,19.73,19.55,240.0,68,108.0,390.0,1,0,1
7,4669,19.98,19.77,19.52,242.0,68,108.0,390.0,0,0,1
8,4672,19.98,19.76,19.53,244.0,70,112.0,390.0,0,0,1
9,4675,19.9,19.72,19.51,202.0,68,114.0,390.0,1,1,1
10,4678,20.05,19.74,19.51,244.0,70,114.0,390.0,1,1,1
11,4681,19.98,19.81,19.52,246.0,70,114.0,390.0,1,0,1
12,4684,20.05,19.79,19.57,246.0,70,114.0,390.0,1,0,1
13,4687,19.99,19.77,19.54,246.0,70,114.0,390.0,1,0,1
14,4690,19.98,19.81,19.59,246.0,70,116.0,390.0,1,0,1
15,4693,20.0,19.79,19.62,246.0,70,116.0,390.0,1,0,1
16,4696,19.97,19.85,19.57,244.0,70,116.0,395.0,0,0,1
17,4699,20.04,19.8,19.61,244.0,70,114.0,395.0,1,0,1
18,4702,19.98,19.8,19.55,246.0,70,116.0,395.0,1,0,1
19,4705,20.0,19.85,19.6,246.0,70,116.0,395.0,0,0,1
20,4708,20.1,19.82,19.54,246.0,70,116.0,390.0,0,0,1
21,4711,19.98,19.86,19.57,246.0,70,114.0,395.0,0,0,1
22,4714,20.12,19.82,19.56,246.0,70,116.0,395.0,0,0,1
23,4717,20.04,19.82,19.57,246.0,70,116.0,400.0,0,0,1
24,4720,20.07,19.83,19.6,248.0,70,118.0,400.0,0,0,1
25,4723,20.04,19.82,19.65,246.0,70,116.0,400.0,1,0,1
26,4726,20.08,19.88,19.66,246.0,70,118.0,405.0,1,0,1
27,4729,20.09,19.81,19.61,246.0,70,116.0,410.0,1,0,1
28,4732,20.1,19.8,19.62,246.0,70,116.0,410.0,1,0,1
29,4735,20.06,19.88,19.65,246.0,70,116.0,405.0,1,0,1
30,4738,20.12,19.85,19.62,246.0,70,116.0,405.0,0,0,1
31,4741,20.17,19.81,19.6,246.0,70,116.0,400.0,0,0,1
32,4744,20.1,19.83,19.69,246.0,70,116.0,410.0,1,0,1
33,4747,20.16,19.85,19.65,246.0,70,116.0,410.0,0,0,1
34,4750,20.12,19.83,19.67,244.0,70,118.0,405.0,0,0,1
35,4753,20.09,19.84,19.63,244.0,70,116.0,410.0,0,0,1
36,4756,20.18,19.83,19.6,246.0,70,114.0,410.0,0,0,1
37,4759,20.18,19.91,19.66,246.0,70,116.0,415.0,0,0,1
38,4762,20.14,19.86,19.63,246.0,70,116.0,420.0,0,0,1
39,4765,20.18,19.89,19.67,246.0,70,114.0,425.0,0,0,1
40,4768,20.15,19.88,19.74,246.0,70,114.0,425.0,0,0,1
41,4771,20.15,19.92,19.64,246.0,70,118.0,420.0,0,0,1
42,4774,20.12,19.92,19.72,246.0,72,118.0,420.0,0,0,1
43,4777,20.17,19.85,19.68,246.0,70,118.0,420.0,1,0,1
44,4780,20.12,19.85,19.69,246.0,70,118.0,420.0,0,0,1
45,4783,20.19,19.88,19.7,248.0,70,120.0,425.0,0,0,1
46,4786,20.18,19.84,19.72,248.0,72,122.0,430.0,0,0,1
47,4789,20.16,19.92,19.68,248.0,72,122.0,430.0,1,0,1
48,4792,20.21,19.89,19.73,248.0,72,122.0,435.0,0,0,1
49,4795,20.18,19.88,19.7,248.0,72,120.0,425.0,0,0,1
50,4798,20.23,19.85,19.71,246.0,70,118.0,425.0,0,0,1
51,4801,20.19,19.93,19.75,246.0,70,118.0,420.0,0,0,1
52,4804,20.18,19.87,19.7,248.0,72,120.0,420.0,1,0,1
53,4807,20.17,19.86,19.65,246.0,70,120.0,420.0,0,0,1
54,4810,20.424883491311217,19.84,19.68,246.0,70,120.0,430.0,1,0,1
55,4813,20.21,19.86,19.65,246.0,70,120.0,435.0,0,0,1
56,4816,20.18,19.87,19.78,246.0,70,118.0,430.0,0,0,1
57,4819,20.17,19.85,19.72,246.0,70,120.0,445.0,0,0,1
